Lot,Label,Category,Bid,MaxBid,Headroom,Verdict,SoldCount,P25,Median,Net,MatchNote,Error
148,"Winchester 37A 12ga",handgun,80,116.31,36.31,GO,56,204,255.5,91.76,"auto: WINCHESTER 37 12 GAUGE (Used, score 95) - 56 sold, 6 asking",""
124,"Taurus 85 30 SPL",handgun,90,121.22,31.22,GO,237,210,242,85.9,"auto: TAURUS 85 .38 SPL. (Used, score 85) - 237 sold, 6 asking",""
193,"Remington Nylon 66 .22 LR",handgun,200,227.48,27.48,GO,266,340,402.5,81.6,"auto: REMINGTON NYLON 66 .22 LR (Used, score 95) - 266 sold, 14 asking",""
169,"Smith & Wesson NEK7834 M&P 9 Shield EZ M2.0",handgun,95,121.22,26.22,GO,154,210,245,80.15,"auto: SMITH & WESSON M&P9 SHIELD M2.0 9MM LUGER (Used, score 58) - 154 sold, 74 asking",""
220,"Smith & Wesson 642 Lady Smith .38 Special",handgun,175,198.87,23.87,GO,227,305,339,77.45,"auto: SMITH & WESSON 642 .38 SPL. (Used, score 95) - 227 sold, 577 asking",""
138,"Ruger Security-Six .357",handgun,300,322.43,22.43,GO,264,455,505,75.8,"auto: RUGER SECURITY-SIX .357 MAG. (Used, score 88) - 264 sold, 0 asking",""
65,"Ruger Single-Six . .22 LR",handgun,225,245.87,20.87,GO,63,362.5,405,74,"auto: RUGER NEW MODEL SINGLE-SIX CONVERTIBLE .22 LR (Used, score 80) - 63 sold, 158 asking",""
76,"Remington Arms 1100 12ga",handgun,350,367.51,17.51,GO,235,509,630,70.14,"auto: REMINGTON 1100 12 GAUGE (Used, score 95) - 235 sold, 38 asking",""
153,"Smith & Wesson M&P9 Shield 9mm",handgun,95,109.98,14.98,GO,42,196.25,230,67.23,"auto: SMITH & WESSON M&P9 SHIELD 9MM LUGER (Used, score 84) - 42 sold, 0 asking",""
177,"Winchester 1300 Pump-Action 12ga",handgun,125,130.01,5.01,GO,96,220.75,278,55.76,"auto: WINCHESTER 1300 12 GAUGE (Used, score 95) - 96 sold, 14 asking",""
93,"Smith & Wesson M&P 15 5.56",handgun,250,251.18,1.18,GO,11,369,405,51.36,"auto: SMITH & WESSON M&P15 .223 REM. (Used, score 98) - 11 sold, 2 asking",""
221,"Smith & Wesson 642-2 .38 Special",handgun,200,198.87,-1.13,NO-GO,227,305,339,48.7,"auto: SMITH & WESSON 642 .38 SPL. (Used, score 95) - 227 sold, 577 asking",""
216,"Winchester 62A Pump-Action 22 Rimfire",handgun,325,318.26,-6.74,NO-GO,42,450,525,42.25,"auto: WINCHESTER 62 .22 LR (Used, score 85) - 42 sold, 2 asking",""
